Frames,Timestamp,gne_ratio,pid,qid
741,4.38556223809719,0.0,40,13
742,4.389873026426022,0.0,40,13
743,4.394183814754853,0.0,40,13
744,4.398494603083684,0.0,40,13
745,4.402805391412515,0.0,40,13
746,4.407116179741346,0.0,40,13
747,4.4114269680701765,0.0,40,13
748,4.4157377563990075,0.0,40,13
749,4.420048544727839,0.0,40,13
750,4.424359333056669,0.0,40,13
751,4.428670121385501,0.0,40,13
752,4.432980909714332,0.0,40,13
753,4.437291698043163,0.0,40,13
754,4.441602486371994,0.0,40,13
755,4.445913274700825,0.0,40,13
756,4.450224063029656,0.0,40,13
757,4.454534851358487,0.0,40,13
758,4.458845639687318,0.0,40,13
759,4.463156428016148,0.0,40,13
760,4.46746721634498,0.0,40,13
761,4.47177800467381,0.0,40,13
762,4.476088793002642,0.0,40,13
763,4.480399581331473,0.0,40,13
764,4.484710369660304,0.0,40,13
765,4.489021157989135,0.46624267258839014,40,13
766,4.493331946317966,0.5330276783444295,40,13
767,4.4976427346467975,0.6033861781843444,40,13
768,4.501953522975628,0.658535294869266,40,13
769,4.506264311304459,0.6889057039463254,40,13
770,4.510575099633289,0.6827024495031496,40,13
771,4.514885887962121,0.6424841127756187,40,13
772,4.519196676290952,0.5818756981608957,40,13
773,4.523507464619783,0.5287647364918833,40,13
774,4.527818252948614,0.0,40,13
775,4.532129041277445,0.0,40,13
776,4.536439829606277,0.0,40,13
777,4.540750617935107,0.0,40,13
778,4.5450614062639385,0.0,40,13
779,4.5493721945927685,0.0,40,13
780,4.5536829829216,0.0,40,13
781,4.557993771250431,0.0,40,13
782,4.562304559579262,0.0,40,13
783,4.566615347908093,0.0,40,13
784,4.570926136236924,0.0,40,13
785,4.575236924565756,0.0,40,13
786,4.579547712894586,0.0,40,13
787,4.583858501223418,0.0,40,13
788,4.588169289552248,0.0,40,13
789,4.5924800778810795,0.0,40,13
790,4.59679086620991,0.0,40,13
791,4.601101654538741,0.0,40,13
792,4.605412442867572,0.0,40,13
793,4.609723231196403,0.0,40,13
794,4.614034019525235,0.0,40,13
795,4.618344807854065,0.0,40,13
796,4.622655596182897,0.0,40,13
797,4.626966384511727,0.0,40,13
798,4.631277172840559,0.0,40,13
799,4.6355879611693895,0.0,40,13
800,4.6398987494982205,0.0,40,13
801,4.644209537827051,0.0,40,13
802,4.648520326155882,0.0,40,13
803,4.652831114484714,0.0,40,13
804,4.657141902813544,0.0,40,13
805,4.661452691142376,0.0,40,13
806,4.665763479471206,0.0,40,13
807,4.670074267800038,0.0,40,13
808,4.674385056128869,0.0,40,13
809,4.6786958444577,0.0,40,13
810,4.6830066327865305,0.0,40,13
811,4.687317421115361,0.0,40,13
812,4.691628209444192,0.0,40,13
813,4.695938997773023,0.0,40,13
814,4.700249786101855,0.0,40,13
815,4.704560574430685,0.0,40,13
816,4.708871362759517,0.4368735296708123,40,13
817,4.713182151088348,0.5064405624058296,40,13
818,4.717492939417179,0.5823773003039678,40,13
819,4.72180372774601,0.6435385644785064,40,13
820,4.726114516074841,0.6768577320575593,40,13
821,4.7304253044036715,0.6675052909119397,40,13
822,4.734736092732502,0.6212178813057551,40,13
823,4.739046881061334,0.5550526504467876,40,13
824,4.743357669390164,0.49970703277726675,40,13
825,4.747668457718996,0.4753552445550398,40,13
826,4.751979246047826,0.0,40,13
827,4.756290034376658,0.0,40,13
828,4.760600822705489,0.0,40,13
829,4.76491161103432,0.0,40,13
830,4.769222399363151,0.0,40,13
831,4.7735331876919815,0.0,40,13
832,4.777843976020813,0.0,40,13
833,4.782154764349643,0.0,40,13
834,4.786465552678475,0.0,40,13
835,4.790776341007305,0.0,40,13
836,4.795087129336137,0.0,40,13
837,4.799397917664968,0.0,40,13
838,4.803708705993799,0.0,40,13
839,4.80801949432263,0.0,40,13
840,4.812330282651461,0.0,40,13
841,4.8166410709802925,0.0,40,13
842,4.8209518593091225,0.0,40,13
843,4.825262647637954,0.0,40,13
844,4.829573435966784,0.0,40,13
845,4.833884224295616,0.0,40,13
846,4.838195012624447,0.0,40,13
847,4.842505800953278,0.0,40,13
848,4.846816589282109,0.0,40,13
849,4.85112737761094,0.0,40,13
850,4.855438165939772,0.0,40,13
851,4.859748954268602,0.0,40,13
852,4.8640597425974335,0.0,40,13
853,4.8683705309262635,0.0,40,13
854,4.872681319255095,0.0,40,13
855,4.876992107583926,0.0,40,13
856,4.881302895912757,0.0,40,13
857,4.885613684241588,0.0,40,13
858,4.889924472570419,0.0,40,13
859,4.894235260899251,0.0,40,13
860,4.898546049228081,0.0,40,13
861,4.902856837556913,0.0,40,13
862,4.907167625885743,0.0,40,13
863,4.911478414214574,0.0,40,13
864,4.915789202543405,0.0,40,13
865,4.920099990872236,0.0,40,13
866,4.924410779201067,0.0,40,13
867,4.928721567529898,0.4104534252934008,40,13
868,4.933032355858729,0.48300273568592733,40,13
869,4.93734314418756,0.5661911931559748,40,13
870,4.941653932516392,0.6358164713945484,40,13
871,4.945964720845222,0.6742801529494743,40,13
872,4.950275509174054,0.6648640350738364,40,13
873,4.9545862975028845,0.6145727059652722,40,13
874,4.958897085831715,0.543338155869275,40,13
875,4.963207874160546,0.4845460610522686,40,13
876,4.967518662489377,0.4576022117475319,40,13
877,4.971829450818208,0.48910983600776137,40,13
878,4.976140239147039,0.0,40,13
879,4.980451027475871,0.0,40,13
880,4.984761815804701,0.0,40,13
881,4.989072604133533,0.0,40,13
882,4.993383392462363,0.0,40,13
883,4.9976941807911945,0.0,40,13
884,5.0020049691200255,0.0,40,13
885,5.006315757448856,0.0,40,13
886,5.010626545777687,0.0,40,13
887,5.014937334106518,0.0,40,13
888,5.01924812243535,0.0,40,13
889,5.02355891076418,0.0,40,13
890,5.027869699093012,0.0,40,13
891,5.032180487421842,0.0,40,13
892,5.036491275750674,0.0,40,13
893,5.040802064079505,0.0,40,13
894,5.0451128524083355,0.0,40,13
895,5.049423640737166,0.0,40,13
896,5.053734429065997,0.0,40,13
897,5.058045217394829,0.0,40,13
898,5.062356005723659,0.0,40,13
899,5.066666794052491,0.0,40,13
900,5.070977582381321,0.0,40,13
901,5.075288370710153,0.0,40,13
902,5.079599159038984,0.0,40,13
903,5.083909947367815,0.0,40,13
904,5.088220735696646,0.0,40,13
905,5.0925315240254765,0.0,40,13
906,5.096842312354308,0.0,40,13
907,5.101153100683138,0.0,40,13
908,5.10546388901197,0.0,40,13
909,5.1097746773408,0.0,40,13
910,5.114085465669632,0.0,40,13
911,5.118396253998463,0.0,40,13
912,5.122707042327294,0.0,40,13
913,5.127017830656125,0.0,40,13
914,5.131328618984956,0.0,40,13
915,5.135639407313787,0.0,40,13
916,5.1399501956426175,0.0,40,13
917,5.144260983971449,0.0,40,13
918,5.148571772300279,0.3931331116563037,40,13
919,5.152882560629111,0.4679089039954712,40,13
920,5.157193348957942,0.5577572979653126,40,13
921,5.161504137286773,0.6342349155445612,40,13
922,5.165814925615604,0.6774869990828758,40,13
923,5.170125713944435,0.6700201262453026,40,13
924,5.174436502273267,0.6176624560238722,40,13
925,5.178747290602097,0.5422708503971301,40,13
926,5.183058078930928,0.47907658520318835,40,13
927,5.187368867259758,0.44795811746504105,40,13
928,5.19167965558859,0.4700265912160796,40,13
929,5.195990443917421,0.5789898026298491,40,13
930,5.200301232246252,0.0,40,13
931,5.204612020575083,0.0,40,13
932,5.208922808903914,0.0,40,13
933,5.213233597232745,0.0,40,13
934,5.217544385561576,0.0,40,13
935,5.221855173890407,0.0,40,13
936,5.2261659622192385,0.0,40,13
937,5.230476750548069,0.0,40,13
938,5.2347875388769,0.0,40,13
939,5.239098327205731,0.0,40,13
940,5.243409115534562,0.0,40,13
941,5.247719903863393,0.0,40,13
942,5.252030692192224,0.0,40,13
943,5.256341480521055,0.0,40,13
944,5.260652268849886,0.0,40,13
945,5.264963057178718,0.0,40,13
946,5.2692738455075485,0.0,40,13
947,5.273584633836379,0.0,40,13
948,5.27789542216521,0.0,40,13
949,5.282206210494041,0.0,40,13
950,5.286516998822872,0.0,40,13
951,5.290827787151703,0.0,40,13
952,5.295138575480534,0.0,40,13
953,5.299449363809365,0.0,40,13
954,5.303760152138196,0.0,40,13
955,5.308070940467028,0.0,40,13
956,5.312381728795859,0.0,40,13
957,5.3166925171246895,0.0,40,13
958,5.32100330545352,0.0,40,13
959,5.325314093782351,0.0,40,13
960,5.329624882111182,0.0,40,13
961,5.333935670440013,0.0,40,13
