Frames,Timestamp,F1_score,F2_score,F_diff,pid,qid
324,4.448136326978025,220.7508357129103,1552.845475665396,1332.0946399524857,40,13
325,4.458188389448841,212.91251170897203,1547.789677116232,1334.87716540726,40,13
326,4.468240451919659,209.70384904407794,1556.435674434472,1346.731825390394,40,13
327,4.478292514390475,208.49705147408415,1544.3348419614526,1335.8377904873685,40,13
328,4.488344576861292,211.4861890872331,1525.1910285973224,1313.7048395100894,40,13
329,4.498396639332109,213.12902580209712,1498.0337047331354,1284.9046789310382,40,13
330,4.508448701802925,209.55019057716302,1500.0210415902602,1290.4708510130972,40,13
331,4.5185007642737425,220.8462956540026,1513.4646511349736,1292.6183554809709,40,13
332,4.5285528267445585,285.0759092115161,1851.129733300884,1566.053824089368,40,13
333,4.538604889215375,314.80831172470596,2129.915890508219,1815.107578783513,40,13
334,4.548656951686192,318.9593559762571,2347.9515474838254,2028.9921915075684,40,13
335,4.558709014157008,313.14146561478964,2455.959999225731,2142.8185336109414,40,13
336,4.568761076627825,305.6253585425499,2522.696218407771,2217.0708598652213,40,13
337,4.578813139098642,291.6825541119533,2541.2334623245697,2249.5509082126164,40,13
338,4.588865201569459,294.7170706624689,2575.444643955524,2280.7275732930552,40,13
339,4.598917264040276,324.7716368377797,2627.797604355392,2303.0259675176126,40,13
340,4.608969326511092,327.1597658985745,1722.6939090168992,1395.5341431183247,40,13
341,4.619021388981909,333.8381066876913,1392.6774590495415,1058.8393523618502,40,13
342,4.629073451452726,451.97892534110076,2692.687990367256,2240.7090650261553,40,13
343,4.639125513923542,486.529198451329,2696.7770445325295,2210.2478460812004,40,13
344,4.64917757639436,474.88358108640386,2703.419519566804,2228.5359384804,40,13
345,4.659229638865176,475.8027249558724,2667.9278660774353,2192.125141121563,40,13
346,4.669281701335993,410.7201409234364,2626.3527551665115,2215.6326142430753,40,13
347,4.6793337638068095,370.17257861052195,2499.4334687572677,2129.2608901467456,40,13
348,4.689385826277626,345.6278349771288,2215.5581934155584,1869.9303584384297,40,13
349,4.6994378887484425,285.73186597777,1820.644520430481,1534.912654452711,40,13
350,4.709489951219259,220.15818052569017,1439.0104799674832,1218.852299441793,40,13
351,4.719542013690076,216.37511874109524,1188.1356350315455,971.7605162904503,40,13
352,4.729594076160893,217.45654263676295,1047.5963222948105,830.1397796580476,40,13
353,4.739646138631709,188.10998872668188,915.3570469300723,727.2470582033905,40,13
354,4.749698201102526,907.9767047225307,2871.234813022662,1963.2581083001312,40,13
355,4.759750263573343,688.1243863202882,1242.9872033551142,554.862817034826,40,13
356,4.769802326044159,557.3543456833661,1114.585534853029,557.2311891696629,40,13
357,4.779854388514977,320.9873373743812,984.7883648063564,663.8010274319752,40,13
358,4.789906450985793,613.2570421064918,1189.672500136057,576.4154580295651,40,13
359,4.79995851345661,612.3801437961397,1277.537908151855,665.1577643557152,40,13
360,4.810010575927427,461.57897757142314,1029.0042608088797,567.4252832374566,40,13
361,4.820062638398243,454.5130446583005,1066.9893954378922,612.4763507795917,40,13
362,4.830114700869061,484.44515059563025,982.5844923219598,498.1393417263296,40,13
363,4.840166763339877,511.3512499769694,1040.1008293339041,528.7495793569346,40,13
364,4.8502188258106935,537.3281186728257,1060.9445740866174,523.6164554137918,40,13
365,4.86027088828151,565.7503072491511,1091.6486247526727,525.8983175035216,40,13
366,4.8703229507523265,585.8690755000024,1113.4811038673972,527.6120283673948,40,13
367,4.880375013223143,613.4547790648678,1127.8623613261825,514.4075822613147,40,13
368,4.89042707569396,572.6028759376318,1141.4814572708453,568.8785813332136,40,13
369,4.900479138164776,570.4027942456961,1149.1723186762395,578.7695244305434,40,13
370,4.910531200635594,970.238994696967,1293.5761622394875,323.33716754252055,40,13
371,4.92058326310641,587.8568290176321,1199.2100066115515,611.3531775939194,40,13
372,4.930635325577227,690.4170942783454,1303.8814879382805,613.4643936599351,40,13
373,4.940687388048044,838.4476614938359,1348.4831093896744,510.0354478958385,40,13
374,4.95073945051886,878.4059436053415,1402.1190178817142,523.7130742763727,40,13
375,4.960791512989678,1043.3361323994113,1522.1261366813044,478.79000428189306,40,13
376,4.970843575460494,1076.0375830377375,1543.386632323131,467.34904928539345,40,13
377,4.980895637931311,733.9391301596844,1549.0216076460063,815.0824774863219,40,13
378,4.990947700402128,658.1315464526934,1556.8766947758295,898.745148323136,40,13
379,5.000999762872944,612.8003335152438,1560.8633772359947,948.0630437207509,40,13
380,5.011051825343761,612.7861958257398,1563.268324199617,950.4821283738771,40,13
381,5.0211038878145775,586.7597092087312,1554.529517825364,967.7698086166329,40,13
382,5.0311559502853935,496.93379671996263,1528.8010572446171,1031.8672605246545,40,13
383,5.041208012756211,616.9657330202726,1564.097393104519,947.1316600842463,40,13
384,5.051260075227027,582.1080621838461,1556.6656383094682,974.5575761256222,40,13
385,5.061312137697844,632.5210955835007,1477.904431981131,845.3833363976303,40,13
386,5.071364200168661,1073.3047988672677,1344.1537824956129,270.8489836283452,40,13
387,5.081416262639477,530.8711583294155,1438.4102919933387,907.5391336639232,40,13
388,5.091468325110295,466.3878462596107,1461.6740543463397,995.2862080867291,40,13
389,5.101520387581111,635.1380936073194,1515.6539999129027,880.5159063055833,40,13
390,5.111572450051928,829.572436953454,1564.8528125503287,735.2803755968747,40,13
391,5.121624512522745,707.626385609616,1522.5160133961638,814.8896277865477,40,13
392,5.131676574993561,112.9935012420664,1349.6198556462152,1236.6263544041487,40,13
393,5.141728637464378,821.0436031890721,2445.290843372848,1624.2472401837758,40,13
394,5.151780699935195,671.4462919459171,1675.0252341463697,1003.5789422004526,40,13
395,5.161832762406011,446.93880132634274,1551.3357364504518,1104.396935124109,40,13
396,5.1718848248768285,1437.955771276891,2018.8638467658936,580.9080754890026,40,13
397,5.181936887347645,1548.0450407926724,2601.6287043081497,1053.5836635154774,40,13
398,5.1919889498184615,1029.4636693209145,2279.7256210723926,1250.2619517514781,40,13
399,5.202041012289278,286.8186158973668,1716.15214036027,1429.3335244629034,40,13
400,5.212093074760095,1027.2397758137745,2349.0670426889237,1321.8272668751492,40,13
401,5.222145137230911,1105.3228473527174,2590.347252625651,1485.0244052729336,40,13
402,5.232197199701728,1214.2578174297814,2184.6156443229615,970.3578268931801,40,13
403,5.242249262172545,1261.9792500551807,1837.28397228734,575.3047222321593,40,13
404,5.252301324643362,976.2568397848083,1764.6091942189807,788.3523544341724,40,13
405,5.262353387114178,260.6179679415465,1665.1224787899685,1404.504510848422,40,13
406,5.272405449584995,1507.5346585768075,2501.4064799104613,993.8718213336538,40,13
407,5.282457512055812,1040.4318729234076,2187.773902083123,1147.3420291597156,40,13
408,5.292509574526629,1011.2058494145596,2301.731906433398,1290.5260570188384,40,13
409,5.302561636997446,352.86581925731514,1638.2559436432311,1285.390124385916,40,13
410,5.312613699468262,731.1812336986937,2253.4940055143206,1522.312771815627,40,13
411,5.322665761939079,1073.3996908526099,1934.2379457035663,860.8382548509564,40,13
412,5.332717824409896,1259.8558988278787,2566.1961399817037,1306.340241153825,40,13
413,5.3427698868807125,884.7578744911561,1624.7485236345108,739.9906491433546,40,13
414,5.3528219493515286,887.7616402097464,2012.8341265319114,1125.0724863221649,40,13
415,5.3628740118223455,866.5527004397326,2001.6234756045455,1135.0707751648129,40,13
416,5.372926074293162,454.74290158067436,1307.4133945995945,852.6704930189202,40,13
417,5.382978136763979,398.8095072863464,1390.0732914526711,991.2637841663247,40,13
418,5.393030199234795,588.4055429499172,1560.2947642658835,971.8892213159663,40,13
419,5.403082261705612,603.9243576583481,1891.362393137018,1287.43803547867,40,13
420,5.413134324176429,467.95867778471535,1488.2772146714797,1020.3185368867644,40,13
421,5.423186386647246,466.6936021507326,1578.0946030835787,1111.401000932846,40,13
422,5.433238449118063,395.8674715024279,1604.729121753532,1208.861650251104,40,13
423,5.443290511588879,720.7951392809432,2128.7650987903044,1407.9699595093612,40,13
424,5.453342574059696,1066.903427438503,2570.2801592067026,1503.3767317681995,40,13
425,5.463394636530513,933.0054128361365,2294.5276630861913,1361.5222502500546,40,13
426,5.47344669900133,457.8781151008873,2088.2317765451453,1630.353661444258,40,13
427,5.483498761472146,369.074518254713,2068.179259054625,1699.1047407999122,40,13
428,5.493550823942963,391.17108933615737,1961.3517846487096,1570.1806953125522,40,13
429,5.50360288641378,387.33024219469013,1752.1454585775878,1364.8152163828977,40,13
430,5.5136549488845965,381.3057799517582,1754.4126294474286,1373.1068494956703,40,13
431,5.523707011355413,366.7052417453129,1797.1686999408178,1430.463458195505,40,13
432,5.5337590738262294,703.7529420688398,1966.3520279688948,1262.599085900055,40,13
433,5.543811136297046,357.06334791583186,1787.7227427162256,1430.6593948003938,40,13
434,5.553863198767863,394.40329344585086,1563.1294228626698,1168.7261294168188,40,13
435,5.56391526123868,1521.6999382630602,3018.926067742209,1497.2261294791488,40,13
436,5.573967323709496,520.4265491688928,2161.343842818378,1640.9172936494851,40,13
437,5.584019386180313,460.5386503442615,2070.9232402613097,1610.3845899170483,40,13
438,5.59407144865113,415.6282834328775,1906.864333075922,1491.2360496430447,40,13
439,5.604123511121947,1250.7932439710596,2193.4889427639446,942.695698792885,40,13
440,5.614175573592763,1157.1679356862282,1929.6601566054596,772.4922209192314,40,13
441,5.62422763606358,765.7890946060305,1689.3272789840712,923.5381843780407,40,13
442,5.634279698534397,519.5472631350526,1857.618145730287,1338.0708825952345,40,13
443,5.644331761005214,1946.247144597045,3055.1365102215273,1108.8893656244823,40,13
444,5.654383823476031,224.54762294973384,1977.2342704586204,1752.6866475088866,40,13
445,5.664435885946847,313.1037738933221,1839.2732588722806,1526.1694849789585,40,13
446,5.674487948417664,365.89120091510745,2075.142025665122,1709.2508247500148,40,13
447,5.6845400108884805,350.0084587549644,1600.3321344102005,1250.323675655236,40,13
448,5.694592073359297,307.8940160606586,2112.7485402039006,1804.854524143242,40,13
449,5.704644135830113,313.8033990581536,2202.686068871996,1888.8826698138425,40,13
450,5.71469619830093,277.70176716656306,2145.1451468191235,1867.4433796525605,40,13
451,5.724748260771747,207.082201088662,1697.5184984194384,1490.4362973307764,40,13
452,5.734800323242564,205.67466443660823,2232.2445323521733,2026.569867915565,40,13
453,5.74485238571338,197.152023773791,2140.796243724264,1943.6442199504731,40,13
454,5.754904448184197,179.7102107013229,1843.8193002030455,1664.1090895017226,40,13
455,5.764956510655014,203.50495164657582,1878.9223190928897,1675.4173674463138,40,13
456,5.775008573125831,384.7218387230606,1859.4565756568186,1474.734736933758,40,13
457,5.785060635596648,988.6243231725663,1765.0512696391388,776.4269464665725,40,13
458,5.795112698067464,550.9916593662987,1716.8853153781076,1165.893656011809,40,13
459,5.805164760538281,287.33944388564544,1741.9380145925095,1454.598570706864,40,13
460,5.815216823009098,359.7632523544902,1656.1642537635098,1296.4010014090195,40,13
